PopulationSum,lon,lat,Actual,Predicted,Error,radius
139.9347105152478,-74.01499191055656,40.20676967777778,2.0,31.0,-29.0,257.16023366277506
104.9232035892691,-74.17103890286866,40.777688138888884,4.0,25.0,-21.0,254.9815464700549
118.1824997702248,-74.22305456697268,40.64335438333333,2.0,22.0,-20.0,255.49646443744902
139.72423779338067,-74.45062309742782,40.49222890833333,4.0,23.0,-19.0,256.0740682400749
122.67832584596488,-74.18729379790116,40.75250055972222,1.0,17.0,-16.0,255.0782004392282
66.87810700829485,-74.44412113941482,39.367183705555554,1.0,17.0,-16.0,260.3177407868453
196.9030370877345,-74.04425072161507,40.71891712083333,10.0,26.0,-16.0,255.20699571413047
72.15228615232509,-74.65868575384395,40.35789515277778,0.0,15.0,-15.0,256.5859983537154
144.27429885475937,-74.14828204982314,40.853250876388884,4.0,19.0,-15.0,254.69128898069204
217.52547408933046,-73.99548603651755,40.811271577777774,7.0,21.0,-14.0,254.85259786267443
